name,what,who,address_1,address_2,suburb,phone,phone_2,free_call,email,website,twitter,social_media,monday,tuesday,wednesday,thursday,friday,saturday,sunday,public_holidays,cost,tram_routes,bus_routes,nearest_train_station,category_1,category_2,category_3,category_4,category_5,category_6,longitude,latitude,geocoded_location,Organisation Legal Name,Outlet Name,Organistaion Website,Outlet Address,Town or Suburb,Postcode,Activity External Name,SA2,SA3,SA4,LGA,Federal Electorate,Latitude,Longitude,Location Withheld,category,Unnamed: 0,Serial No.,Estimate type,Gender,Chapter,Indicator,Indicator category,Stratified by,Sub-population,%,RSE,UL,LL,Sig.,Year
Hanover Southbank,"short term supported crisis accommodation for men, women and couples

accommodation support and referrals, case management and planning, health services, learning and activities, drug and alcohol support, shared kitchen and bathroom facilities",,,52 Haig Street,South Melbourne,9699 4566,,,southbank@hanover.org.au,hanover.org.au,@Hanovermelb,facebook.com/hanover.welfare.services,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,12:00 AM - 11:59 AM,Closed,Closed,"Lodging fee arrangements are prepared on the below costs:
Working/Pension - $18.00 per night
New Start - $15.50 per night
Youth Allowance - $11.00 per night
(Breakfast is included)","96, 109, 12 (stop 124B Whiteman St)",,,Accommodation,Health Services / Pharmacy,Showers / Laundry,,,,144.956268,-37.827398,"-37.827398, 144.956268",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Hare Krishna Temple,free meals,,Food for Life,197 Danks Street,Albert Park,9699 5122,,,,harekrishnamelbourne.com.au,@harekrishnamelb,facebook.com/harekrishnamelbourne,"1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 5:30pm - 6:30pm","1pm - 1:30pm, 6pm - 7pm","1pm - 1:30pm, 6pm - 7pm",Closed,,12 (stop 136 Danks St),,,Food,,,,,,144.954037,-37.848051,"-37.848051, 144.954037",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
HomeGround Services,"initial assessment and planning for housing crisis accommodation
limited financial assistance
assistance with public housing applications
free legal advice and assistance provided by Justice Connect.  Contact Justice Connect on telephone 1800 606 313 to talk to an Intake Worker to make an appointment
Not-for-profit real estate agency committed to providing landlords and tenants with a professional property management service, while reinvesting our revenue back into the community (Phone: 9288 9600)",,,68 Oxford Street,Collingwood,9288 9611,,1800 606 313,info@homeground.org.au,homeground.org.au,@_HomeGround,facebook.com/homegroundservices,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,86 (stop 16 Peel St),,,Accommodation,Legal / Financial Advice,Tenancy Assistance,,,,144.984797,-37.804759,"-37.804759, 144.984797",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Homelessness Advocacy Service (HAS) – Council to Homeless Persons,,,,2 Stanley Street,Collingwood,,,1800 066 256,Angela@chp.org.au,chp.org.au/services/has/,@CHPVic,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,86 (stop 18 Hodgson St),,,Legal / Financial Advice,,,,,,144.984278,-37.801915,"-37.801915, 144.984278",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Homelessness Australia,,,,,,,,,,homelessnessaustralia.org.au,,,,,,,,,,,,,,,Helpful website,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
InfoXchange – Housing and Homelessness,,,,,,,,,,infoxchange.net.au,,,,,,,,,,,,,,,Helpful website,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Inner Melbourne Community Legal,"free legal information, advice and casework","financially disadvantaged individuals who live, work or study in: 
·         Melbourne CBD
·         North Melbourne
·         West Melbourne
·         Docklands 
·         Carlton.",Suite 2,508 Queensberry Street,North Melbourne,9328 1885,,,north_melbourne@clc.net.au,imcl.org.au,@IMelbCL,facebook.com/IMCL.org,9.00am - 5.00pm,"9.00am - 5.00pm, General legal: fortnightly from 9:30 – 11:30am, Criminal law: fortnightly from 6:30 – 8:30pm","9.00am - 5.00pm, Family law: fortnightly from 6:30 – 8:30pm",9.00am - 5.00pm,"9.00am - 5.00pm, Debt and infringement: from 1:30 – 4pm",Closed,Closed,Closed,,57 (stop 12 North Melbourne Town Hall),,,Legal / Financial Advice,,,,,,144.950404,-37.803069,"-37.803069, 144.950404",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Inner Melbourne VET Cluster (IMVC),"Making Alternatives Program (MAP) Program – Term 4 (10 weeks): is designed for young adults, aged 15-18 years seeking an alternative learning environment to mainstream schooling.  Students will participate in Career and Industry exploration activities beyond the classroom.  The program’s small-group setting will also provide for a more supportive and individualized approach to learning.

Springboard Program:  The Springboard Program provides outreach case management and funding to young people who are, or have been, in residential out-of-home care, between 16 and 21 years of age, who are disengaged from education, training or employment.  The young person has to be subject to a Custody of Secretary Order or a Guardianship Order on or after their 16th birthday to be eligible for Springboard support.",,Level 1,71 Palmerston Crescent,South Melbourne,9686 2354,,,reception@imvc.com.au,imvc.com.au,,facebook.com/IMVCInnerMelbourneVETCluster,,,,,,,,,,55 (stop 118 Park St),,,Legal / Financial Advice,Employment Assistance,,,,,144.969079,-37.835111,"-37.835111, 144.969079",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Justice Connect Homeless Law,"Homeless Law provides free legal advice and assistance to people who are homeless or at risk of homelessness.

The service assists with the following legal issues:
infringements that are related to homelessness, tenancy, credit and debt, guardianship and administration.

It operates from a number of outreach locations within the City of Melbourne.",,,229 Barkly Street,Footscray,,,1800 606 313,admin@justiceconnect.org.au,justiceconnect.org.au,@Justice_Connect,facebook.com/JusticeConnect,,,,,,,,,,,,,Legal / Financial Advice,,,,,,144.896575,-37.799989,"-37.799989, 144.896575",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Kids Help line,,,,,,,,1800 551 800,,kidshelp.com.au,,,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Lifeline (24 hour crisis counselling),,,,,,13 11 14,,,,lifeline.org.au,@LifelineAust,youtube.com/user/LifelineAustralia,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Living Room Primary Health Service,"Living Room is made up of a team of doctors/nurses and community development workers who provide a confidential ‘user friendly’ free health service.

health services, referrals and information, chill out space, tea and coffee


There are a number of co-located services including:
Centrelink, podiatry, dieticians, dental hygienist, mental health nurses, social worker, psychologist, Hep C, liver clinic, housing services, youth response, employment agency.

Drop into Hosier Lane or contact outreach workers by phone.",,,7-9 Hosier Lane,Melbourne,9945 2100,,1800 440 188,livingroom@youthprojects.org.au,youthprojects.org.au,@Youth_Projects,facebook.com/YouthProjects,"10:00am – 12:00pm, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm","Mornings by appointment only, 1pm - 4pm",Closed,Closed,Closed,,"City Circle, 70, 71, 75 (stop 5 Russell St)",,Flinders Street,Health Services / Pharmacy,,,,,,144.969029,-37.816297,"-37.816297, 144.969029",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Maternal and Child Health Line,,,,,,13 22 29,,,,education.vic.gov.au/childhood/parents/support/pages/mchline.aspx,,,,,,,,,,,,,,,Helpful phone number,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Matthew Talbot Fitzroy Soup Van,"The Fitzroy Soup Van does street stops around the city area and operates 7 days per week.

Monday to Friday:
Sandwiches, soup, sausage rolls, meat pies, pasties, tea, coffee and cordial.

Saturday and Sunday:
Sandwiches, soup, tea, coffee and cordial.",The Fitzroy Soup Van is a free service available to anyone in the Fitzroy area. We typically support people who face financial difficulties and those who are homeless.,,Multiple locations. Please contact provider for latest location information.,,,,,soupvans@svdp-vic.org.au,vinnies.org.au/page/Find_Help/VIC/Food/Fitzroy_Soup_Van/,,,"Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Godfrey Street, City –  9.15pm.","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm","Times are approximate: Corner McCauley and Boundary Road, North Melbourne – 7.00 p.m. – 7.20pm, All Saints Fitzroy – 7.40pm – 8.00pm, Hanover – 52 Haig Street, Southbank – 9.00pm, Queen Victoria Market (Peel Street) - Carpark – 9.30pm, Flinders Street Station –  8.20pm",,,,,Food,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
McAuley Community Services for Women - McAuley House Program,medium term supported accommodation,"Medium term supported accommodation for women, unaccompanied by children, aged between 25 – 55 years who are homeless, at risk of homelessness and/or have a mental illness.",,149 Flemington Road,North Melbourne,9269 6868,,,mcsw@mcauleycsw.org.au,mcauleycsw.org.au,@McAuleycsw,facebook.com/McAuleycsw,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"55, 57, 59",,,Accommodation,Health Services / Pharmacy,,,,,144.949629,-37.795588,"-37.795588, 144.949629",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Melbourne Counselling Service,"gambling counselling, youth sexual assault counselling, a unit of Gamblers Help, financial counselling, general counselling",,Level 2,69 Bourke Street,Melbourne,9653 3250,,,,salvationarmy.org.au,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,"City Circle, 86, 95, 96 (stop 9 Spring St)",,Parliament,Counselling and Psychiatric Services,Legal / Financial Advice,,,,,144.971628,-37.812515,"-37.812515, 144.971628",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Melbourne Sexual Health Centre,"sexual health services, pregnancy testing, counselling, pharmacy, needle exchange, result and information line",,,580 Swanston Street,Carlton,9341 6200,,,,mshc.org.au,,,8.40am - 5pm,8.40am - 5pm,8.40am - 5pm,"8.40am - 5pm, 5.00pm - 6:30pm by appointment only",12:30pm - 5.00pm,Closed,Closed,Closed,,"1, 3, 5, 6, 8, 16, 64, 67, 72 (stop 3 Lincoln Square)",,,Health Services / Pharmacy,Drug and Alcohol,Needle Exchange,,,,144.963837,-37.803078,"-37.803078, 144.963837",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Mensline Australia,,,,,,1300 789 978,,,,mensline.org.au,@MensLine_Aus,facebook.com/MensLineAus,,,,,,,,,,,,,Helpful phone number,Helpful website,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Narcotics Anonymous - Victorian Area Helpline,,,,,,9525 2833,,,info@navic.net.au,navic.net.au,,,,,,,,,,,,,,,Helpful phone number,Helpful website,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
North West Outreach Service,needle and syringe program,,,,"Kensington, Flemington, Ascot Vale, Moonee Ponds, Essendon and Niddrie",0418 170 556,,1800 170 556,,,,,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,6.00pm – 2.00am,,,,,Needle Exchange,,,,,,,144.915469,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Open Family Australia,"Outreach service for young people 10-25 years, accommodation referral, drug and alcohol referral, legal advice referral and recreational activities.

The ‘Chatter Box Bus’ operates from 8pm till late in and around Melbourne CBD ‘hotspots’ on Wednesday, Friday and Saturday nights.  Food, advice and activities offered.",Outreach service for young people 10-25 years,,155 Roden Street,West Melbourne,8354 0800,,,info@openfamily.com.au,openfamily.com.au,,,9.00 am - 5.00 pm,9.00 am - 5.00 pm,"9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late",9.00 am - 5.00 pm,"9.00 am - 5.00 pm, Chatter Box Bus: 8pm till late",Chatter Box Bus: 8pm till late,Closed,Closed,,57 (stop 11 Victoria St),,North Melboourne,Accommodation,Drug and Alcohol,Legal / Financial Advice,,,,144.947177,-37.808663,"-37.808663, 144.947177",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Orygen Youth Health,Public mental health service,Young people aged 15 – 24 years living in the Western and North-Western regions of Melbourne,,35 Poplar Road,Parkville,9342 2800,,1800 888 320,info@orygen.org.au,oyh.org.au,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,55 (stop 26 Royal Park Station),,Royal Park – Upfield Line.,Health Services / Pharmacy,Counselling and Psychiatric Services,,,,,144.948571,-37.779449,"-37.779449, 144.948571",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Ozanam Community Centre,"breakfast – daily between 9.15 am - 10am
lunch – daily between 12 noon - 1pm.
laundry, shower, health services, dentist, drug and alcohol counselling, doctor and nurse, therapeutic groups, centrelink, Inner Melbourne Legal Services.",Statewide services for homeless and disadvantaged people who are over 18 years old,,268 Abbotsford Street,North Melbourne,9329 6733,,,,vincentcare.org.au,,,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,9.00am - 2.30pm,Closed,Closed,Closed,,57 (stop 15 Arden St),,,Food,Health Services / Pharmacy,Dentistry,Showers / Laundry,Counselling and Psychiatric Services,,144.946225,-37.800795,"-37.800795, 144.946225",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Ozanam House,"crisis accommodation for men over the age of 18, food (3 meals per day to residents), laundry ($1 operation charge for residents)

centrelink services Thursday 9:30am - 11.30am

Accommodation Referrals for Ozanam House through VincentCare Housing Services.
Phone 9304 0100 
Freecall:   1800 618 468",Crisis accommodation centre houses men over 18 years of age.,,179 Flemington Road,North Melbourne,9304 0100,9329 5100,1800 618 468,,vincentcare.org.au,,,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,"Disability - $30.00 per night
New Start Allowance - $24.00 per night
Youth Allowance - $18.00 per night.","55, 57, 59 (stop 19 Abbotsford St Interchange)",,,Food,Accommodation,Showers / Laundry,,,,144.948507,-37.795439,"-37.795439, 144.948507",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Parentline Victoria,"Statewide telephone service providing counselling, information and referral for all Victorian parents and carers of children 0 - 18yrs.",,,,,13 22 89,,,,education.vic.gov.au/about/contact/Pages/parentline.aspx,,,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,8am to midnight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Presbyterian and Scots’ Church Joint Mission (The Flemington Mission),"coffee, conversation,  blankets, books, etc. every Tuesday.
food relief is also available on the 1st and 3rd Tuesdays of each month.",,,26 Norwood Street,Flemington,9376 3777,,,,,,,Closed,10.00am - 1.00pm,Closed,Closed,Closed,Closed,Closed,Closed,,57 (stop 25 Wellington St),,Newmarket (Craigieburn Line),Food,Clothes and Blankets,,,,,144.93081,-37.787084,"-37.787084, 144.93081",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Quin House,"Quin House accommodates men over 18 years. There is an abstinence-based program with referral through the withdrawal services.

residential drug and alcohol rehabilitation (3 months), post-residential program, accommodation referral",Men over 18 years,,38-40 George Street,Fitzroy,9419 4874,,,,vincentcare.org.au,,,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,9.00am - 5.00pm,Closed,Closed,Closed,,86 (stop 14 Napier St),,,Food,Drug and Alcohol,,,,,144.980758,-37.807263,"-37.807263, 144.980758",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
RDNS Homeless Person’s Program,Health services,,,113 Rosslyn Street,West Melbourne,1300 334 455,,,cscentre@rdns.com.au,rdns.com.au,,,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,8:30 AM - 5:30 PM,Closed,Closed,Closed,,57 (stop 10 Chetwynd St),,,Health Services / Pharmacy,,,,,,144.950825,-37.808981,"-37.808981, 144.950825",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Rosies Bus,"Rosies Bus parks at Flinders Street Station and provides tea, coffee, biscuits, milo, and cordial.
(Winter Season):  Blankets/Gloves/Beanies and Scarves)",,,,,9795 5077,,,rosies.vic@oblates.com.au,rosiesvic.oblates.com.au,,facebook.com/rosiesvictoria,Closed,Closed,8.30pm - 10.30pm,Closed,8.30pm - 10.30pm,Closed,Closed,Closed,,,,Flinders Street,Food,,,,,,,,,,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Royal Melbourne Hospital,Outpatients’ emergency service,,,300 Grattan Street,Parkville,9342 7000,,,enquiries@mh.org.au,rmh.mh.org.au,@TheRMH,facebook.com/RoyalMelbourneHospital,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,"19 (stop 10 Royal Melbourne Hospital), 55, 59 (stop 14 Royal Melbourne Hospital)","401, 402 (Royal Melbourne Hospital/Grattan St (Parkville) stop ID 7587)",,Hospitals / Emergency,,,,,,144.956177,-37.798877,"-37.798877, 144.956177",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
Royal Victorian Eye & Ear Hospital,Outpatients’ emergency service,,,32 Gisborne Street,East Melbourne,9929 8666,,,info@eyeandear.org.au,eyeandear.org.au,,,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,24 hours,,"109, 12 (stop 12 St Vincent’s Plaza)",,,Hospitals / Emergency,,,,,,144.976219,-37.808784,"-37.808784, 144.976219",,,,,,,,,,,,,,,,Support Service,,,,,,,,,,,,,,,
